primary_type,jumlah
THEFT,1580228
BATTERY,1376974
CRIMINAL DAMAGE,855734
NARCOTICS,741336
ASSAULT,483686
OTHER OFFENSE,466972
BURGLARY,416000
MOTOR VEHICLE THEFT,347670
DECEPTIVE PRACTICE,325052
ROBBERY,282318
CRIMINAL TRESPASS,209365
WEAPONS VIOLATION,96550
PROSTITUTION,69529
OFFENSE INVOLVING CHILDREN,53195
PUBLIC PEACE VIOLATION,51468
SEX OFFENSE,29161
CRIM SEXUAL ASSAULT,27772
INTERFERENCE WITH PUBLIC OFFICER,17888
LIQUOR LAW VIOLATION,14661
GAMBLING,14607
ARSON,12752
HOMICIDE,11774
KIDNAPPING,7083
CRIMINAL SEXUAL ASSAULT,4673
INTIMIDATION,4433
STALKING,4267
CONCEALED CARRY LICENSE VIOLATION,878
OBSCENITY,759
PUBLIC INDECENCY,188
NON-CRIMINAL,176
OTHER NARCOTIC VIOLATION,141
HUMAN TRAFFICKING,89
NON - CRIMINAL,38
RITUALISM,24
NON-CRIMINAL (SUBJECT SPECIFIED),9
DOMESTIC VIOLENCE,1
